"V1","V2"
"LRP2","LAMB2"
"LRP2","LRP4"
"LRP2","USH2A"
"LRP2","PSG5"
"NAT8B","LBP"
"NAT8B","TNXB"
"NAT8B","VCAN"
"NAT8B","CDH23"
"NAT8B","CES5A"
"NAT8B","MYBPC2"
"NAT8B","C2CD3"
"NAT8B","CFB"
"NAT8B","COL15A1"
"NAT8B","LAMA2"
"NAT8B","CHIT1"
"NAT8B","SIGLEC12"
"NAT8B","TNC"
"NAT8B","CDH3"
"NAT8B","COL13A1"
"NAT8B","COLQ"
"NAT8B","LAMA5"
"NAT8B","LAMB2"
"NAT8B","LRP4"
"NAT8B","USH2A"
"NAT8B","PSG5"
"LBP","TNXB"
"LBP","VCAN"
"LBP","CDH23"
"LBP","CES5A"
"LBP","MYBPC2"
"LBP","C2CD3"
"LBP","CFB"
"LBP","COL15A1"
"LBP","LAMA2"
"LBP","CHIT1"
"LBP","SIGLEC12"
"LBP","TNC"
"LBP","CDH3"
"LBP","COL13A1"
"LBP","COLQ"
"LBP","LAMA5"
"LBP","LAMB2"
"LBP","LRP4"
"LBP","USH2A"
"LBP","PSG5"
"TNXB","VCAN"
"TNXB","CDH23"
"TNXB","CES5A"
"TNXB","MYBPC2"
"TNXB","C2CD3"
"TNXB","CFB"
"TNXB","COL15A1"
"TNXB","LAMA2"
"TNXB","CHIT1"
"TNXB","SIGLEC12"
"TNXB","TNC"
"TNXB","CDH3"
"TNXB","COL13A1"
"TNXB","COLQ"
"TNXB","LAMA5"
"TNXB","LAMB2"
"TNXB","LRP4"
"TNXB","USH2A"
"TNXB","PSG5"
"VCAN","CDH23"
"VCAN","CES5A"
"VCAN","MYBPC2"
"VCAN","C2CD3"
"VCAN","CFB"
"VCAN","COL15A1"
"VCAN","LAMA2"
"VCAN","CHIT1"
"VCAN","SIGLEC12"
"VCAN","TNC"
"VCAN","CDH3"
"VCAN","COL13A1"
"VCAN","COLQ"
"VCAN","LAMA5"
"VCAN","LAMB2"
"VCAN","LRP4"
"VCAN","USH2A"
"VCAN","PSG5"
"CDH23","CES5A"
"CDH23","MYBPC2"
"CDH23","C2CD3"
"CDH23","CFB"
"CDH23","COL15A1"
"CDH23","LAMA2"
"CDH23","CHIT1"
"CDH23","SIGLEC12"
"CDH23","TNC"
"CDH23","CDH3"
"CDH23","COL13A1"
"CDH23","COLQ"
"CDH23","LAMA5"
"CDH23","LAMB2"
"CDH23","LRP4"
"CDH23","USH2A"
"CDH23","PSG5"
"CES5A","MYBPC2"
"CES5A","C2CD3"
"CES5A","CFB"
"CES5A","COL15A1"
"CES5A","LAMA2"
"CES5A","CHIT1"
"CES5A","SIGLEC12"
"CES5A","TNC"
"CES5A","CDH3"
"CES5A","COL13A1"
"CES5A","COLQ"
"CES5A","LAMA5"
"CES5A","LAMB2"
"CES5A","LRP4"
"CES5A","USH2A"
"CES5A","PSG5"
"MYBPC2","C2CD3"
"MYBPC2","CFB"
"MYBPC2","COL15A1"
"MYBPC2","LAMA2"
"MYBPC2","CHIT1"
"MYBPC2","SIGLEC12"
"MYBPC2","TNC"
"MYBPC2","CDH3"
"MYBPC2","COL13A1"
"MYBPC2","COLQ"
"MYBPC2","LAMA5"
"MYBPC2","LAMB2"
"MYBPC2","LRP4"
"MYBPC2","USH2A"
"MYBPC2","PSG5"
"C2CD3","CFB"
"C2CD3","COL15A1"
"C2CD3","LAMA2"
"C2CD3","CHIT1"
"C2CD3","SIGLEC12"
"C2CD3","TNC"
"C2CD3","CDH3"
"C2CD3","COL13A1"
"C2CD3","COLQ"
"C2CD3","LAMA5"
"C2CD3","LAMB2"
"C2CD3","LRP4"
"C2CD3","USH2A"
"C2CD3","PSG5"
"CFB","COL15A1"
"CFB","LAMA2"
"CFB","CHIT1"
"CFB","SIGLEC12"
"CFB","TNC"
"CFB","CDH3"
"CFB","COL13A1"
"CFB","COLQ"
"CFB","LAMA5"
"CFB","LAMB2"
"CFB","LRP4"
"CFB","USH2A"
"CFB","PSG5"
"COL15A1","LAMA2"
"COL15A1","CHIT1"
"COL15A1","SIGLEC12"
"COL15A1","TNC"
"COL15A1","CDH3"
"COL15A1","COL13A1"
"COL15A1","COLQ"
"COL15A1","LAMA5"
"COL15A1","LAMB2"
"COL15A1","LRP4"
"COL15A1","USH2A"
"COL15A1","PSG5"
"LAMA2","CHIT1"
"LAMA2","SIGLEC12"
"LAMA2","TNC"
"LAMA2","CDH3"
"LAMA2","COL13A1"
"LAMA2","COLQ"
