"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"2","3","2","95","151","160","378","173","229","C0002896"
"2","5","7","53","51","342","454","573","492","C0002896"
"2","5","7","53","51","342","259","423","389","C0002896"
"2","3","2","48","170","50","119","100","556","C0002896"
"2","3","2","48","170","50","304","167","593","C0002896"
"2","3","12","41","116","268","259","568","422","C0002902"
"2","3","12","76","153","40","38","54","75","C0002902"
"2","3","2","15","166","104","369","117","583","C0002902"
"2","3","12","41","116","268","434","568","605","C0002902"
"2","3","12","76","153","40","38","54","75","C0002902"
"2","3","12","76","153","40","38","54","75","C0002902"
"2","3","2","76","153","40","38","54","75","C0002902"
"2","3","3","19","221","321","428","541","667","C0002938"
"2","3","12","76","153","40","38","54","75","C0002938"
"2","3","12","76","153","40","34","540","68","C0002938"
"2","3","12","76","153","40","38","54","75","C0002938"
"2","5","7","53","51","342","454","573","492","C0002940"
"2","3","8","63","45","23","103","464","187","C0002940"
"2","3","12","19","31","110","141","488","102","C0002940"
"2","1","6","11","142","225","142","220","298","C0002940"
"2","5","7","53","51","119","25","489","416","C0002940"
"2","5","7","34","52","216","395","549","674","C0002940"
"2","5","7","34","52","119","395","549","674","C0002940"
"2","5","7","53","51","342","454","573","492","C0002949"
"2","5","7","53","51","342","454","573","492","C0002949"
"2","5","7","53","51","342","454","573","492","C0002949"
"2","3","12","19","219","339","259","423","605","C0002949"
"2","5","7","53","51","342","454","573","492","C0002949"
"2","5","4","68","96","326","427","548","672","C0002949"
"2","5","7","53","51","342","259","423","389","C0002949"
"2","3","12","41","219","339","259","423","605","C0002949"
"2","3","5","79","152","273","157","333","277","C0002962"
"2","3","5","26","35","178","9","414","220","C0002962"
"2","3","12","19","31","1","426","55","78","C0002962"
"2","5","4","68","96","326","427","548","672","C0002962"
"2","5","7","53","51","342","454","573","492","C0002962"
"2","5","7","53","14","20","25","40","186","C0002962"
"2","3","2","48","182","50","119","444","556","C0002962"
"2","3","12","41","116","268","423","536","445","C0002962"
"2","5","7","60","14","184","341","544","669","C0002962"
"2","5","7","60","14","184","341","544","669","C0002962"
"2","5","7","53","14","20","25","40","186","C0002962"
"2","3","12","26","105","178","226","297","156","C0002962"
"2","5","7","34","52","216","395","549","674","C0002962"
"2","3","7","34","52","216","395","549","674","C0002962"
"2","5","7","53","51","342","454","573","492","C0002965"
"2","5","4","68","96","326","427","548","672","C0002965"
"2","5","7","34","52","216","395","549","674","C0002965"
"2","5","7","53","51","342","454","573","492","C0002982"
"2","5","12","41","219","339","156","568","697","C0002982"
"2","3","5","32","93","163","207","303","126","C0002982"
"2","3","12","41","116","268","423","536","445","C0002982"
"2","3","7","53","14","20","34","489","416","C0002982"
"2","3","7","53","14","20","25","40","186","C0002982"
"2","3","5","80","81","339","156","568","605","C0002982"
"2","3","7","34","52","216","395","549","674","C0002985"
"2","3","7","34","52","216","395","549","674","C0002985"
"2","3","7","34","52","216","395","549","674","C0002985"
"2","3","5","80","81","339","156","568","605","C0002985"
"2","3","7","34","52","216","395","549","674","C0002986"
"2","3","7","34","52","216","395","21","599","C0002986"
"2","3","5","21","111","188","242","313","396","C0002986"
"2","3","7","34","52","216","395","549","674","C0002986"
"2","5","5","27","51","335","444","560","373","C0002994"
"2","5","7","105","219","261","402","129","215","C0002994"
"2","5","7","53","51","119","156","287","116","C0002994"
"2","5","7","53","51","342","454","573","492","C0002994"
"2","5","7","68","51","119","395","549","674","C0002994"
"2","5","7","53","51","342","454","573","702","C0002994"
"2","1","6","11","142","225","142","220","298","C0002994"
"2","5","7","53","51","342","454","573","492","C0002994"
