Var1,Var2,value
CASP12,RP1,8
DEFB115,RP1,7
ATAD3C,RP1,8
KRT79,DNAH7,8
MICALL2,DNAH7,8
NPHP3,DNAH7,6
FHOD3,DNAH7,6
LEFTY2,DNAH7,8
NCKAP5L,DNAH7,2
PRRT3,DNAH7,8
TOR2A,DNAH7,7
CASP5,DNAH7,6
DMXL2,DNAH7,8
KIAA1109,DNAH7,6
LILRA1,DNAH7,8
NAT8B,DNAH7,6
UNC13C,DNAH7,8
ZP4,DNAH7,8
ABCB5,DNAH7,6
AMPD1,DNAH7,7
ATP6V0A4,DNAH7,7
CFHR5,DNAH7,8
LBP,DNAH7,8
OTOP1,DNAH7,7
PLB1,DNAH7,7
SLC28A1,DNAH7,8
SLC44A4,DNAH7,7
TNXB,DNAH7,8
VWA5B2,DNAH7,8
ZNF778,DNAH7,8
CDH23,DNAH7,8
CES5A,DNAH7,7
CHGB,DNAH7,8
FGL1,DNAH7,7
MYH15,DNAH7,8
SELENOO,DNAH7,7
ZNF273,DNAH7,8
BAIAP3,DNAH7,8
FHAD1,DNAH7,7
HEATR1,DNAH7,7
OR10G9,DNAH7,8
DNAAF1,DNAH7,0
DNAH17,DNAH7,8
DNAH3,DNAH7,1
ZC3H3,DNAH7,7
ACOT2,DNAH7,7
CDH3,DNAH7,8
FAAP100,DNAH7,6
FCGBP,DNAH7,6
PPFIBP2,DNAH7,8
RPTN,DNAH7,8
ALG14,DNAH7,7
ALG2,DNAH7,7
CHRNA1,DNAH7,8
CHRNB1,DNAH7,8
CHRNE,DNAH7,8
COL13A1,DNAH7,8
COLQ,DNAH7,8
DOK7,DNAH7,8
DPAGT1,DNAH7,7
LAMB2,DNAH7,8
LRP4,DNAH7,8
MYO9A,DNAH7,8
RPH3A,DNAH7,8
SCN4A,DNAH7,8
SLC18A3,DNAH7,7
SLC25A1,DNAH7,7
SLC5A7,DNAH7,8
UNC13B,DNAH7,8
TPCN2,DNAH7,8
AKNAD1,DNAH7,8
CLCNKB,DNAH7,8
CASP12,DNAH7,6
DEFB115,DNAH7,8
ATAD3C,DNAH7,7
KRT79,FHOD3,8
MICALL2,FHOD3,8
NPHP3,FHOD3,7
LEFTY2,FHOD3,8
NCKAP5L,FHOD3,6
PRRT3,FHOD3,8
TOR2A,FHOD3,7
CASP5,FHOD3,2
DMXL2,FHOD3,8
LILRA1,FHOD3,8
NAT8B,FHOD3,6
UNC13C,FHOD3,8
ZP4,FHOD3,8
ABCB5,FHOD3,4
AMPD1,FHOD3,7
ATP6V0A4,FHOD3,7
CFHR5,FHOD3,8
LBP,FHOD3,8
OTOP1,FHOD3,7
PLB1,FHOD3,7
SLC28A1,FHOD3,8
SLC44A4,FHOD3,7
TNXB,FHOD3,8
VWA5B2,FHOD3,8
ZNF778,FHOD3,8
CDH23,FHOD3,8
CES5A,FHOD3,7
CHGB,FHOD3,8
MYH15,FHOD3,8
SELENOO,FHOD3,6
ZNF273,FHOD3,8
BAIAP3,FHOD3,8
FHAD1,FHOD3,7
OR10G9,FHOD3,8
DNAAF1,FHOD3,6
DNAH17,FHOD3,8
DNAH3,FHOD3,7
ZC3H3,FHOD3,7
ACOT2,FHOD3,7
FAAP100,FHOD3,6
FCGBP,FHOD3,6
RPTN,FHOD3,8
ALG14,FHOD3,7
ALG2,FHOD3,7
CHRNA1,FHOD3,8
CHRNB1,FHOD3,8
CHRNE,FHOD3,8
COL13A1,FHOD3,8
COLQ,FHOD3,8
DPAGT1,FHOD3,7
LRP4,FHOD3,8
RPH3A,FHOD3,8
SCN4A,FHOD3,8
SLC18A3,FHOD3,7
SLC25A1,FHOD3,7
SLC5A7,FHOD3,8
UNC13B,FHOD3,8
TPCN2,FHOD3,8
AKNAD1,FHOD3,8
CLCNKB,FHOD3,8
CASP12,FHOD3,2
DEFB115,FHOD3,8
ATAD3C,FHOD3,7
KRT79,HSPG2,8
MICALL2,HSPG2,6
NPHP3,HSPG2,8
RP1,HSPG2,6
DNAH7,HSPG2,8
FHOD3,HSPG2,8
LEFTY2,HSPG2,1
NCKAP5L,HSPG2,8
NOTCH4,HSPG2,4
PRRT3,HSPG2,6
PTPN14,HSPG2,6
SMTN,HSPG2,7
TOR2A,HSPG2,8
C1orf94,HSPG2,8
CASP5,HSPG2,8
DMXL2,HSPG2,6
KIAA1109,HSPG2,8
LILRA1,HSPG2,4
LOXL3,HSPG2,0
LRP2,HSPG2,6
NAT8B,HSPG2,8
UNC13C,HSPG2,6
ZP4,HSPG2,2
ABCB5,HSPG2,8
AMPD1,HSPG2,8
ATP6V0A4,HSPG2,8
CFHR5,HSPG2,5
LBP,HSPG2,4
OTOP1,HSPG2,8
PLB1,HSPG2,8
RPL3L,HSPG2,8
SLC28A1,HSPG2,7
SLC44A4,HSPG2,8
SPTBN5,HSPG2,6
TNXB,HSPG2,0
VWA5B2,HSPG2,6
ZNF778,HSPG2,8
ANKRD12,HSPG2,8
CDH23,HSPG2,4
CES5A,HSPG2,8
CHGB,HSPG2,0
FGL1,HSPG2,3
MCM8,HSPG2,8
MYBPC2,HSPG2,4
MYH15,HSPG2,7
SELENOO,HSPG2,8
ZNF273,HSPG2,8
BAIAP3,HSPG2,6
C2CD3,HSPG2,8
CFB,HSPG2,4
COL15A1,HSPG2,0
FHAD1,HSPG2,8
HEATR1,HSPG2,8
LAMA2,HSPG2,0
OR10G9,HSPG2,8
DNAAF1,HSPG2,8
DNAH17,HSPG2,5
DNAH3,HSPG2,8
NBEA,HSPG2,8
SIGLEC12,HSPG2,4
WDSUB1,HSPG2,8
ZC3H3,HSPG2,8
ACOT2,HSPG2,8
CDH3,HSPG2,4
FAAP100,HSPG2,8
FCGBP,HSPG2,8
PPFIBP2,HSPG2,5
RPTN,HSPG2,8
USP8,HSPG2,8
ALG14,HSPG2,8
ALG2,HSPG2,8
CHAT,HSPG2,8
CHRNA1,HSPG2,7
CHRNB1,HSPG2,7
CHRNE,HSPG2,7
CHRNG,HSPG2,7
COL13A1,HSPG2,0
COLQ,HSPG2,2
DOK7,HSPG2,6
DPAGT1,HSPG2,8
GFPT1,HSPG2,8
GMPPB,HSPG2,8
LAMA5,HSPG2,0
LAMB2,HSPG2,0
LRP4,HSPG2,0
MYO9A,HSPG2,6
PLEC,HSPG2,0
PREPL,HSPG2,8
RAPSN,HSPG2,6
RPH3A,HSPG2,6
SCN4A,HSPG2,7
SLC18A3,HSPG2,7
SLC25A1,HSPG2,8
SLC5A7,HSPG2,7
SYT2,HSPG2,6
UNC13B,HSPG2,6
VAMP1,HSPG2,6
USH2A,HSPG2,0
UBE2D1,HSPG2,8
ATAD3B,HSPG2,6
TPCN2,HSPG2,7
AKNAD1,HSPG2,7
CLCNKB,HSPG2,7
CASP12,HSPG2,8
PSG5,HSPG2,1
DEFB115,HSPG2,7
ATAD3C,HSPG2,8
KRT79,LEFTY2,8
MICALL2,LEFTY2,5
NPHP3,LEFTY2,8
NCKAP5L,LEFTY2,8
PRRT3,LEFTY2,6
TOR2A,LEFTY2,8
DMXL2,LEFTY2,6
LILRA1,LEFTY2,4
NAT8B,LEFTY2,8
UNC13C,LEFTY2,6
ZP4,LEFTY2,2
ABCB5,LEFTY2,8
AMPD1,LEFTY2,8
ATP6V0A4,LEFTY2,8
CFHR5,LEFTY2,5
LBP,LEFTY2,4
OTOP1,LEFTY2,8
PLB1,LEFTY2,8
SLC28A1,LEFTY2,7
SLC44A4,LEFTY2,8
VWA5B2,LEFTY2,6
ZNF778,LEFTY2,8
CDH23,LEFTY2,4
CES5A,LEFTY2,8
CHGB,LEFTY2,1
MYH15,LEFTY2,7
SELENOO,LEFTY2,8
ZNF273,LEFTY2,8
BAIAP3,LEFTY2,6
FHAD1,LEFTY2,8
OR10G9,LEFTY2,8
DNAAF1,LEFTY2,8
DNAH17,LEFTY2,5
DNAH3,LEFTY2,8
ZC3H3,LEFTY2,8
ACOT2,LEFTY2,8
FAAP100,LEFTY2,8
FCGBP,LEFTY2,8
RPTN,LEFTY2,8
ALG14,LEFTY2,8
ALG2,LEFTY2,8
CHRNA1,LEFTY2,7
CHRNB1,LEFTY2,7
CHRNE,LEFTY2,7
COL13A1,LEFTY2,1
COLQ,LEFTY2,3
DPAGT1,LEFTY2,8
LRP4,LEFTY2,1
RPH3A,LEFTY2,6
SCN4A,LEFTY2,7
SLC18A3,LEFTY2,7
SLC25A1,LEFTY2,8
SLC5A7,LEFTY2,7
UNC13B,LEFTY2,6
TPCN2,LEFTY2,7
AKNAD1,LEFTY2,7
CLCNKB,LEFTY2,7
CASP12,LEFTY2,8
DEFB115,LEFTY2,7
ATAD3C,LEFTY2,8
MICALL2,NCKAP5L,8
NPHP3,NCKAP5L,7
PRRT3,NCKAP5L,8
TOR2A,NCKAP5L,7
DMXL2,NCKAP5L,8
LILRA1,NCKAP5L,8
NAT8B,NCKAP5L,6
UNC13C,NCKAP5L,8
ZP4,NCKAP5L,8
ABCB5,NCKAP5L,6
AMPD1,NCKAP5L,7
ATP6V0A4,NCKAP5L,7
CFHR5,NCKAP5L,8
OTOP1,NCKAP5L,7
PLB1,NCKAP5L,7
SLC28A1,NCKAP5L,8
SLC44A4,NCKAP5L,7
VWA5B2,NCKAP5L,8
ZNF778,NCKAP5L,8
CDH23,NCKAP5L,8
CES5A,NCKAP5L,7
MYH15,NCKAP5L,8
SELENOO,NCKAP5L,7
ZNF273,NCKAP5L,8
BAIAP3,NCKAP5L,8
FHAD1,NCKAP5L,7
OR10G9,NCKAP5L,8
DNAH17,NCKAP5L,8
DNAH3,NCKAP5L,3
ZC3H3,NCKAP5L,7
ACOT2,NCKAP5L,7
FCGBP,NCKAP5L,6
RPTN,NCKAP5L,8
ALG14,NCKAP5L,7
CHRNA1,NCKAP5L,8
CHRNE,NCKAP5L,8
COL13A1,NCKAP5L,8
COLQ,NCKAP5L,8
DPAGT1,NCKAP5L,7
LRP4,NCKAP5L,8
SCN4A,NCKAP5L,8
SLC18A3,NCKAP5L,7
SLC25A1,NCKAP5L,7
SLC5A7,NCKAP5L,8
UNC13B,NCKAP5L,8
TPCN2,NCKAP5L,8
AKNAD1,NCKAP5L,8
CLCNKB,NCKAP5L,8
CASP12,NCKAP5L,6
DEFB115,NCKAP5L,8
ATAD3C,NCKAP5L,7
KRT79,NOTCH4,8
MICALL2,NOTCH4,6
NPHP3,NOTCH4,8
RP1,NOTCH4,6
DNAH7,NOTCH4,8
FHOD3,NOTCH4,8
LEFTY2,NOTCH4,4
NCKAP5L,NOTCH4,8
PRRT3,NOTCH4,6
PTPN14,NOTCH4,6
TOR2A,NOTCH4,8
CASP5,NOTCH4,8
DMXL2,NOTCH4,6
KIAA1109,NOTCH4,8
LILRA1,NOTCH4,4
LOXL3,NOTCH4,4
LRP2,NOTCH4,6
NAT8B,NOTCH4,8
UNC13C,NOTCH4,6
ZP4,NOTCH4,5
ABCB5,NOTCH4,8
AMPD1,NOTCH4,8
ATP6V0A4,NOTCH4,8
CFHR5,NOTCH4,5
LBP,NOTCH4,4
OTOP1,NOTCH4,6
PLB1,NOTCH4,8
RPL3L,NOTCH4,8
SLC28A1,NOTCH4,7
SLC44A4,NOTCH4,8
SPTBN5,NOTCH4,6
TNXB,NOTCH4,4
VWA5B2,NOTCH4,6
ZNF778,NOTCH4,8
ANKRD12,NOTCH4,6
CDH23,NOTCH4,4
CES5A,NOTCH4,8
CHGB,NOTCH4,4
FGL1,NOTCH4,7
MCM8,NOTCH4,8
MYH15,NOTCH4,7
SELENOO,NOTCH4,8
ZNF273,NOTCH4,8
BAIAP3,NOTCH4,6
CFB,NOTCH4,4
COL15A1,NOTCH4,4
FHAD1,NOTCH4,8
HEATR1,NOTCH4,8
LAMA2,NOTCH4,4
OR10G9,NOTCH4,8
DNAAF1,NOTCH4,8
DNAH17,NOTCH4,5
DNAH3,NOTCH4,8
NBEA,NOTCH4,8
SIGLEC12,NOTCH4,4
WDSUB1,NOTCH4,8
ZC3H3,NOTCH4,8
ACOT2,NOTCH4,8
CDH3,NOTCH4,4
FAAP100,NOTCH4,8
FCGBP,NOTCH4,8
PPFIBP2,NOTCH4,5
RPTN,NOTCH4,8
USP8,NOTCH4,8
ALG14,NOTCH4,8
ALG2,NOTCH4,8
CHAT,NOTCH4,8
CHRNA1,NOTCH4,7
CHRNB1,NOTCH4,7
CHRNE,NOTCH4,7
CHRNG,NOTCH4,7
COL13A1,NOTCH4,4
COLQ,NOTCH4,6
DOK7,NOTCH4,6
DPAGT1,NOTCH4,8
GFPT1,NOTCH4,8
GMPPB,NOTCH4,8
LAMA5,NOTCH4,4
LAMB2,NOTCH4,4
LRP4,NOTCH4,4
MYO9A,NOTCH4,6
PLEC,NOTCH4,4
PREPL,NOTCH4,8
RAPSN,NOTCH4,6
RPH3A,NOTCH4,6
SCN4A,NOTCH4,7
SLC18A3,NOTCH4,7
SLC25A1,NOTCH4,8
SLC5A7,NOTCH4,7
SYT2,NOTCH4,6
UNC13B,NOTCH4,6
VAMP1,NOTCH4,6
USH2A,NOTCH4,4
ATAD3B,NOTCH4,6
TPCN2,NOTCH4,7
AKNAD1,NOTCH4,7
CLCNKB,NOTCH4,7
CASP12,NOTCH4,8
PSG5,NOTCH4,4
DEFB115,NOTCH4,7
ATAD3C,NOTCH4,8
SLC44A4,PRRT3,8
CES5A,PRRT3,8
DEFB115,PRRT3,7
KRT79,PTPN14,8
MICALL2,PTPN14,6
NPHP3,PTPN14,8
RP1,PTPN14,6
DNAH7,PTPN14,8
FHOD3,PTPN14,8
LEFTY2,PTPN14,6
NCKAP5L,PTPN14,8
PRRT3,PTPN14,6
TOR2A,PTPN14,8
CASP5,PTPN14,8
DMXL2,PTPN14,6
KIAA1109,PTPN14,8
LILRA1,PTPN14,6
LOXL3,PTPN14,6
LRP2,PTPN14,6
NAT8B,PTPN14,8
UNC13C,PTPN14,6
ZP4,PTPN14,6
ABCB5,PTPN14,8
AMPD1,PTPN14,8
