Var1,Var2,value
ABCB5,SLC44A4,7
AMPD1,SLC44A4,6
ATP6V0A4,SLC44A4,6
CFHR5,SLC44A4,8
LBP,SLC44A4,8
MYO10,SLC44A4,8
OTOP1,SLC44A4,7
PLB1,SLC44A4,6
RPL3L,SLC44A4,7
SLC28A1,SLC44A4,8
AGRN,SPTBN5,6
DIP2A,SPTBN5,7
KIF13B,SPTBN5,7
KRT79,SPTBN5,8
MICALL2,SPTBN5,5
NPHP3,SPTBN5,8
RAD51AP1,SPTBN5,8
RP1,SPTBN5,5
DNAH7,SPTBN5,8
FHOD3,SPTBN5,8
HSPG2,SPTBN5,6
LEFTY2,SPTBN5,6
NCKAP5L,SPTBN5,8
NOTCH4,SPTBN5,6
PRRT3,SPTBN5,6
PTPN14,SPTBN5,6
SMTN,SPTBN5,7
SRMS,SPTBN5,1
TOR2A,SPTBN5,8
C1orf94,SPTBN5,8
CASP5,SPTBN5,8
DMXL2,SPTBN5,5
KIAA1109,SPTBN5,8
LILRA1,SPTBN5,6
LOXL3,SPTBN5,6
LRP2,SPTBN5,4
NAT8B,SPTBN5,8
UNC13C,SPTBN5,5
ZP4,SPTBN5,6
ABCB5,SPTBN5,8
AMPD1,SPTBN5,8
ATP6V0A4,SPTBN5,8
CFHR5,SPTBN5,7
LBP,SPTBN5,5
MYO10,SPTBN5,6
OTOP1,SPTBN5,8
PLB1,SPTBN5,8
RPL3L,SPTBN5,8
SLC28A1,SPTBN5,7
SLC44A4,SPTBN5,8
AGRN,TNXB,0
DIP2A,TNXB,6
KIF13B,TNXB,7
KRT79,TNXB,8
MICALL2,TNXB,6
NPHP3,TNXB,8
RAD51AP1,TNXB,8
RP1,TNXB,6
DNAH7,TNXB,8
FHOD3,TNXB,8
HSPG2,TNXB,0
LEFTY2,TNXB,1
NCKAP5L,TNXB,8
NOTCH4,TNXB,4
PRRT3,TNXB,6
PTPN14,TNXB,6
SMTN,TNXB,7
SRMS,TNXB,5
TOR2A,TNXB,8
C1orf94,TNXB,8
CASP5,TNXB,8
DMXL2,TNXB,6
KIAA1109,TNXB,8
LILRA1,TNXB,4
LOXL3,TNXB,0
LRP2,TNXB,6
NAT8B,TNXB,8
UNC13C,TNXB,6
ZP4,TNXB,2
ABCB5,TNXB,8
AMPD1,TNXB,8
ATP6V0A4,TNXB,8
CFHR5,TNXB,5
LBP,TNXB,4
MYO10,TNXB,6
OTOP1,TNXB,8
PLB1,TNXB,8
RPL3L,TNXB,8
SLC28A1,TNXB,7
SLC44A4,TNXB,8
SPTBN5,TNXB,6
AGRN,VCAN,0
DIP2A,VCAN,6
KIF13B,VCAN,7
KRT79,VCAN,8
MICALL2,VCAN,6
NPHP3,VCAN,8
RAD51AP1,VCAN,8
RP1,VCAN,6
DNAH7,VCAN,8
FHOD3,VCAN,8
HSPG2,VCAN,0
LEFTY2,VCAN,1
NCKAP5L,VCAN,8
NOTCH4,VCAN,4
PRRT3,VCAN,6
PTPN14,VCAN,6
SMTN,VCAN,7
SRMS,VCAN,5
TOR2A,VCAN,8
C1orf94,VCAN,8
CASP5,VCAN,8
DMXL2,VCAN,6
KIAA1109,VCAN,8
LILRA1,VCAN,4
LOXL3,VCAN,0
LRP2,VCAN,6
NAT8B,VCAN,8
UNC13C,VCAN,6
ZP4,VCAN,2
ABCB5,VCAN,8
AMPD1,VCAN,8
ATP6V0A4,VCAN,8
CFHR5,VCAN,5
LBP,VCAN,4
MYO10,VCAN,6
OTOP1,VCAN,8
PLB1,VCAN,8
RPL3L,VCAN,8
SLC28A1,VCAN,7
SLC44A4,VCAN,8
SPTBN5,VCAN,6
TNXB,VCAN,0
AGRN,VWA5B2,6
DIP2A,VWA5B2,7
KIF13B,VWA5B2,7
KRT79,VWA5B2,8
MICALL2,VWA5B2,5
NPHP3,VWA5B2,8
RAD51AP1,VWA5B2,8
RP1,VWA5B2,5
DNAH7,VWA5B2,8
FHOD3,VWA5B2,8
HSPG2,VWA5B2,6
LEFTY2,VWA5B2,6
NCKAP5L,VWA5B2,8
NOTCH4,VWA5B2,6
PRRT3,VWA5B2,6
PTPN14,VWA5B2,6
SMTN,VWA5B2,7
SRMS,VWA5B2,5
TOR2A,VWA5B2,5
C1orf94,VWA5B2,8
CASP5,VWA5B2,8
DMXL2,VWA5B2,4
KIAA1109,VWA5B2,8
LILRA1,VWA5B2,6
LOXL3,VWA5B2,6
LRP2,VWA5B2,0
NAT8B,VWA5B2,8
UNC13C,VWA5B2,4
ZP4,VWA5B2,6
ABCB5,VWA5B2,8
AMPD1,VWA5B2,8
ATP6V0A4,VWA5B2,8
CFHR5,VWA5B2,7
LBP,VWA5B2,6
MYO10,VWA5B2,6
OTOP1,VWA5B2,8
PLB1,VWA5B2,8
RPL3L,VWA5B2,8
SLC28A1,VWA5B2,7
SLC44A4,VWA5B2,8
SPTBN5,VWA5B2,4
TNXB,VWA5B2,6
VCAN,VWA5B2,6
AGRN,ZNF778,8
DIP2A,ZNF778,8
KIF13B,ZNF778,8
KRT79,ZNF778,8
MICALL2,ZNF778,8
NPHP3,ZNF778,8
RAD51AP1,ZNF778,8
RP1,ZNF778,8
DNAH7,ZNF778,8
FHOD3,ZNF778,8
HSPG2,ZNF778,8
LEFTY2,ZNF778,8
NCKAP5L,ZNF778,8
NOTCH4,ZNF778,8
PRRT3,ZNF778,8
PTPN14,ZNF778,8
SMTN,ZNF778,8
SRMS,ZNF778,8
TOR2A,ZNF778,7
C1orf94,ZNF778,8
CASP5,ZNF778,8
DMXL2,ZNF778,8
KIAA1109,ZNF778,8
LILRA1,ZNF778,8
LOXL3,ZNF778,8
LRP2,ZNF778,8
NAT8B,ZNF778,8
UNC13C,ZNF778,8
ZP4,ZNF778,8
ABCB5,ZNF778,8
AMPD1,ZNF778,8
ATP6V0A4,ZNF778,8
CFHR5,ZNF778,8
LBP,ZNF778,8
MYO10,ZNF778,8
OTOP1,ZNF778,7
PLB1,ZNF778,8
RPL3L,ZNF778,8
SLC28A1,ZNF778,8
SLC44A4,ZNF778,8
SPTBN5,ZNF778,8
TNXB,ZNF778,8
VCAN,ZNF778,8
VWA5B2,ZNF778,8
AGRN,ANKRD12,8
DIP2A,ANKRD12,8
KIF13B,ANKRD12,7
KRT79,ANKRD12,8
MICALL2,ANKRD12,8
NPHP3,ANKRD12,7
RAD51AP1,ANKRD12,5
RP1,ANKRD12,8
DNAH7,ANKRD12,6
